sub_id,betaCol_1,betaCol_2,betaMot_1,betaMot_2,col_1,col_2,col_3,col_4,mot_1,mot_2,mot_3,mot_4,pedaldist,col_p_c_r,col_coh,mot_p_c_r,mot_coh,S
31,-4.65805314232753,8.80316415941651,-0.16883628804238,9.29653094661497,0.058,0.372,0.686,1,-0.428,-0.13,0.167,0.464,1.69824557365583e-05,"[0,0.04,0.08,0.2,0.16,0.36,0.48,0.52,0.64,0.84,0.96,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.08,0.24,0.36,0.48,0.68,0.84,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.6982455736558322E-5,0.083531353174721046,0.91646864682527907,0.99998301754426344]"
32,-7.41149922101405,14.7453897406929,-0.0296474370626935,7.68297002336265,0.005,0.337,0.668,1,-0.951,-0.314,0.322,0.958,1.11799458579753e-13,"[0,0,0,0.08,0.36,0.4,0.72,0.8,0.68,0.92,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.2,0.16,0.52,0.72,0.6,0.8,0.96,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.1179945857975326E-13,0.0072501702994057782,0.99274982970059422,0.9999999999998882]"
33,-4.57932907722995,9.24370787575199,-0.834834023726042,11.2144552032231,0,0.33,0.661,0.991,-0.334,-0.0619999999999999,0.211,0.483,2.33234899642522e-06,"[0.04,0,0.04,0.2,0.16,0.44,0.64,0.84,0.72,0.96,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0,0,0.12,0.48,0.56,0.6,0.96,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[2.3323489963811284E-6,0.063449784643108353,0.93655021535689165,0.99999766765100362]"
34,-10.1698117059006,20.8863057812681,0.0122659385185054,17.6046764094488,0,0.357,0.617,1,-1,-0.155,0.153,1,2.22044604925031e-16,"[0,0,0,0.04,0.24,0.68,0.84,0.8,0.96,0.96,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0,0.08,0.24,0.88,0.88,0.96,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[2.2204460492503131E-16,0.0033780796466662544,0.99662192035333375,0.99999999999999978]"
35,-7.6458872929208,16.0194952981587,0.123243918330586,11.5314269247665,0,0.318,0.636,0.955,-0.674,-0.232,0.21,0.652,1.03754685588016e-14,"[0,0,0,0.36,0.44,0.48,0.8,0.88,0.8,1,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0.04,0.08,0.16,0.32,0.8,0.76,1,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.0325074129013956E-14,0.0054057442151514978,0.9945942557848485,0.99999999999998967]"
36,-4.49459896037796,9.73651339400958,0.202357024198648,13.8088928884223,0,0.308,0.615,0.923,-0.34,-0.123,0.094,0.311,3.48505916461837e-06,"[0,0.04,0.2,0.4,0.56,0.56,0.76,0.6,0.84,1,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.08,0.08,0.52,0.72,0.92,0.96,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[3.4850591645874118E-6,0.067040692830475868,0.93295930716952413,0.99999651494083541]"
37,-3.58604642729557,8.05838334630292,0.15149116630345,14.1455741698519,0,0.297,0.593,0.89,-0.264,-0.095,0.074,0.243,0.000167864606436298,"[0.04,0.08,0.16,0.32,0.48,0.6,0.76,0.76,1,0.96,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.12,0.16,0.28,0.64,0.96,1,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[0.00016786460643625212,0.11597538862298362,0.88402461137701638,0.99983213539356375]"
38,-4.33686730722388,9.31509079887237,0.423270802917417,9.61604965563301,0,0.31,0.621,0.931,-0.495,-0.194,0.106,0.407,7.22639072807235e-06,"[0,0.08,0.28,0.24,0.52,0.44,0.6,0.76,0.88,1,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.36,0.28,0.56,0.72,0.88,0.96,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[7.2263907280323281E-6,0.074141565160525058,0.92585843483947494,0.999992773609272]"
39,-5.62909962486942,12.2449225232376,-0.106701047842277,11.3598546739424,0,0.306,0.613,0.919,-0.486,-0.156,0.175,0.505,9.0576374461563e-09,"[0,0,0.16,0.44,0.44,0.68,0.76,0.8,0.92,0.96,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.04,0.24,0.2,0.72,0.8,0.84,1,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[9.0576374178752417E-9,0.030302482802091357,0.96969751719790864,0.99999999094236258]"
40,-5.18429016275047,10.8983231618339,0.0899418696582224,13.0877824211256,0,0.317,0.634,0.951,-0.403,-0.139,0.125,0.389,1.08419561478755e-07,"[0,0,0.12,0.44,0.48,0.36,0.76,0.76,0.88,0.88,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0,0,0.08,0.04,0.4,0.72,1,0.96,0.96,1,1]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.084195614398098E-7,0.041985442649103533,0.95801455735089647,0.99999989158043856]"
41,-6.24901690941245,14.6231166886351,-0.0310135795639409,4.14417865316348,0.146,0.334,0.521,0.709,-0.985,-0.323,0.338,1,1.95135552673031e-05,"[0,0,0.16,0.6,0.76,0.88,0.96,0.88,0.92,1,1,1]","[0,0.26,0.38,0.44,0.46,0.48,0.52,0.54,0.56,0.62,0.74,1]","[0,0.04,0.12,0.12,0.16,0.36,0.6,0.92,0.8,0.88,1,0.96]","[-1,-0.48,-0.24,-0.12,-0.08,-0.04,0.04,0.08,0.12,0.24,0.48,1]","[1.951355526730314E-5,0.085178901891384329,0.91482109810861567,0.9999804864447327]"
