ED,subno
3.16227766016838,4
2.82842712474619,4
2.82842712474619,4
2.82842712474619,4
2.82842712474619,4
2.82842712474619,4
1.4142135623731,4
1.4142135623731,4
2.82842712474619,4
1.4142135623731,4
4.24264068711928,4
3.16227766016838,4
2.23606797749979,4
2.82842712474619,4
2.82842712474619,4
3.16227766016838,4
1.4142135623731,4
2.82842712474619,4
2.82842712474619,4
2.82842712474619,4
2.82842712474619,4
3.16227766016838,4
1.4142135623731,4
2.82842712474619,4
3.16227766016838,4
2.23606797749979,4
2.23606797749979,4
2.82842712474619,4
2.82842712474619,4
1.4142135623731,4
2.23606797749979,4
2.23606797749979,4
3.16227766016838,4
3.60555127546399,4
3.60555127546399,4
3.60555127546399,4
3.16227766016838,4
3.16227766016838,4
2.82842712474619,4
3.60555127546399,4
3.60555127546399,4
1.4142135623731,4
1.4142135623731,4
2.23606797749979,4
1.4142135623731,4
3.16227766016838,4
3.16227766016838,4
2.23606797749979,4
1.4142135623731,4
1.4142135623731,4
2.23606797749979,4
2.23606797749979,4
3.60555127546399,4
2.23606797749979,4
2.82842712474619,4
2.23606797749979,4
1.4142135623731,4
2.23606797749979,4
2.23606797749979,4
1.4142135623731,4
3.16227766016838,4
2.82842712474619,4
2.82842712474619,4
2.23606797749979,4
2.82842712474619,4
1.4142135623731,4
3.60555127546399,4
3.16227766016838,4
2.23606797749979,4
2.23606797749979,4
1.4142135623731,4
3.16227766016838,4
3.60555127546399,4
2.23606797749979,4
2.23606797749979,4
2.82842712474619,4
2.23606797749979,4
1.4142135623731,4
1.4142135623731,4
2.23606797749979,4
2.23606797749979,4
2.23606797749979,4
1.4142135623731,4
2.23606797749979,4
1.4142135623731,4
3.60555127546399,4
1.4142135623731,4
2.23606797749979,4
2.23606797749979,4
3.16227766016838,4
3.60555127546399,4
4.24264068711928,4
3.16227766016838,4
1.4142135623731,4
1.4142135623731,4
2.23606797749979,4
2.82842712474619,4
3.16227766016838,4
3.16227766016838,4
2.23606797749979,4
3.16227766016838,4
4.24264068711928,4
3.16227766016838,4
2.23606797749979,4
2.82842712474619,4
1.4142135623731,4
1.4142135623731,4
1.4142135623731,4
2.82842712474619,4
1.4142135623731,4
1.4142135623731,4
2.82842712474619,4
2.23606797749979,4
1.4142135623731,4
1.4142135623731,4
2.23606797749979,4
3.16227766016838,4
1.4142135623731,4
2.23606797749979,4
1.4142135623731,4
2.23606797749979,4
2.23606797749979,4
2.23606797749979,4
3.16227766016838,4
2.23606797749979,4
2.82842712474619,4
2.23606797749979,4
2.23606797749979,4
2.23606797749979,4
3.60555127546399,4
1.4142135623731,4
2.23606797749979,4
3.60555127546399,4
1.4142135623731,4
